level,itl,name,year,Population
ITL2,TLG3,West Midlands,2007,1856259.0
ITL2,TLH1,East Anglia,2007,1508791.0
ITL2,TLH2,Bedfordshire and Hertfordshire,2007,1165957.0
ITL2,TLH3,Essex,2007,1125193.0
ITL2,TLI3,Inner London - West,2007,867019.0
ITL2,TLI4,Inner London - East,2007,1747798.0
ITL2,TLI5,Outer London - East and North East,2007,1244207.0
ITL2,TLI6,Outer London - South,2007,840906.0
ITL2,TLI7,Outer London - West and North West,2007,1350898.0
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2007,1506916.0
ITL2,TLJ2,"Surrey, East and West Sussex",2007,1766901.0
ITL2,TLJ3,Hampshire and Isle of Wight,2007,1225855.0
ITL2,TLJ4,Kent,2007,1131174.0
ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",2007,1575738.0
ITL2,TLK2,Dorset and Somerset,2007,773201.0
ITL2,TLK3,Cornwall and Isles of Scilly,2007,332588.0
ITL2,TLK4,Devon,2007,713081.0
ITL2,TLL1,West Wales and The Valleys,2007,1202658.0
ITL2,TLL2,East Wales,2007,735608.0
ITL2,TLM5,North Eastern Scotland,2007,316660.0
ITL2,TLM6,Highlands and Islands,2007,281898.0
ITL2,TLM7,Eastern Scotland,2007,1294762.0
ITL2,TLM8,West Central Scotland,2007,1025259.0
ITL2,TLM9,Southern Scotland,2007,574558.0
ITL2,TLN0,Northern Ireland,2007,
ITL2,TLC1,Tees Valley and Durham,2008,743321.0
ITL2,TLC2,"Northumberland, and Tyne and Wear",2008,922401.0
ITL2,TLD1,Cumbria,2008,294473.0
ITL2,TLD3,Greater Manchester,2008,1811543.0
ITL2,TLD4,Lancashire,2008,922508.0
ITL2,TLD6,Cheshire,2008,564891.0
ITL2,TLD7,Merseyside,2008,979455.0
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2008,562640.0
ITL2,TLE2,North Yorkshire,2008,501652.0
ITL2,TLE3,South Yorkshire,2008,894503.0
ITL2,TLE4,West Yorkshire,2008,1473319.0
ITL2,TLF1,Derbyshire and Nottinghamshire,2008,1396007.0
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",2008,1160426.0
ITL2,TLF3,Lincolnshire,2008,452175.0
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",2008,822920.0
ITL2,TLG2,Shropshire and Staffordshire,2008,999163.0
ITL2,TLG3,West Midlands,2008,1856259.0
ITL2,TLH1,East Anglia,2008,1508791.0
ITL2,TLH2,Bedfordshire and Hertfordshire,2008,1165957.0
ITL2,TLH3,Essex,2008,1125193.0
ITL2,TLI3,Inner London - West,2008,867019.0
ITL2,TLI4,Inner London - East,2008,1747798.0
ITL2,TLI5,Outer London - East and North East,2008,1244207.0
ITL2,TLI6,Outer London - South,2008,840906.0
ITL2,TLI7,Outer London - West and North West,2008,1350898.0
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2008,1506916.0
ITL2,TLJ2,"Surrey, East and West Sussex",2008,1766901.0
ITL2,TLJ3,Hampshire and Isle of Wight,2008,1225855.0
ITL2,TLJ4,Kent,2008,1131174.0
ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",2008,1575738.0
ITL2,TLK2,Dorset and Somerset,2008,773201.0
ITL2,TLK3,Cornwall and Isles of Scilly,2008,332588.0
ITL2,TLK4,Devon,2008,713081.0
ITL2,TLL1,West Wales and The Valleys,2008,1202658.0
ITL2,TLL2,East Wales,2008,735608.0
ITL2,TLM5,North Eastern Scotland,2008,316660.0
ITL2,TLM6,Highlands and Islands,2008,281898.0
ITL2,TLM7,Eastern Scotland,2008,1294762.0
ITL2,TLM8,West Central Scotland,2008,1025259.0
ITL2,TLM9,Southern Scotland,2008,574558.0
ITL2,TLN0,Northern Ireland,2008,
ITL2,TLC1,Tees Valley and Durham,2009,743321.0
ITL2,TLC2,"Northumberland, and Tyne and Wear",2009,922401.0
ITL2,TLD1,Cumbria,2009,294473.0
ITL2,TLD3,Greater Manchester,2009,1811543.0
ITL2,TLD4,Lancashire,2009,922508.0
ITL2,TLD6,Cheshire,2009,564891.0
ITL2,TLD7,Merseyside,2009,979455.0
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2009,562640.0
ITL2,TLE2,North Yorkshire,2009,501652.0
ITL2,TLE3,South Yorkshire,2009,894503.0
ITL2,TLE4,West Yorkshire,2009,1473319.0
ITL2,TLF1,Derbyshire and Nottinghamshire,2009,1396007.0
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",2009,1160426.0
ITL2,TLF3,Lincolnshire,2009,452175.0
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",2009,822920.0
ITL2,TLG2,Shropshire and Staffordshire,2009,999163.0
ITL2,TLG3,West Midlands,2009,1856259.0
ITL2,TLH1,East Anglia,2009,1508791.0
ITL2,TLH2,Bedfordshire and Hertfordshire,2009,1165957.0
ITL2,TLH3,Essex,2009,1125193.0
ITL2,TLI3,Inner London - West,2009,867019.0
ITL2,TLI4,Inner London - East,2009,1747798.0
ITL2,TLI5,Outer London - East and North East,2009,1244207.0
ITL2,TLI6,Outer London - South,2009,840906.0
ITL2,TLI7,Outer London - West and North West,2009,1350898.0
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2009,1506916.0
ITL2,TLJ2,"Surrey, East and West Sussex",2009,1766901.0
ITL2,TLJ3,Hampshire and Isle of Wight,2009,1225855.0
ITL2,TLJ4,Kent,2009,1131174.0
ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",2009,1575738.0
ITL2,TLK2,Dorset and Somerset,2009,773201.0
ITL2,TLK3,Cornwall and Isles of Scilly,2009,332588.0
ITL2,TLK4,Devon,2009,713081.0
ITL2,TLL1,West Wales and The Valleys,2009,1202658.0
ITL2,TLL2,East Wales,2009,735608.0
ITL2,TLM5,North Eastern Scotland,2009,316660.0
ITL2,TLM6,Highlands and Islands,2009,281898.0
